Title,Price,Condition,Shipping,Return,No of Sold
Apple iPhone 13 128gb Blue MLPK 3ql/a new guarantee Italy 24 monthsOpens in a new window or tab,$763.56,Brand New,Shipping not specified,No Return Specified,Almost gone
Case iPhone 11 12 13 Pro Max XR XS S Mini Case Mobile Phone Pouch Bumper AppleOpens in a new window or tab,$8.36,Brand New,Shipping not specified,No Return Specified,953+ sold
Apple iPhone 13 128gb Starlight mlPg 3ql/a new guarantee Italy 24 monthsOpens in a new window or tab,$763.56,Brand New,Shipping not specified,No Return Specified,43 sold
Apple iPhone XR - (Unlocked) A1984 (GSM) (CA) 64GB/128GB/256GB - Grade BOpens in a new window or tab,$197.66,Very Good - Refurbished,Shipping not specified,No Return Specified,eBay Refurbished
Apple iPhone XS 64GB/256GB Manufacture Unlocked - Canadian Model - Grade BOpens in a new window or tab,$212.44,Very Good - Refurbished,Shipping not specified,No Return Specified,eBay Refurbished
Apple iPhone X 64GB/256GB Manufacture Unlocked - Canadian Model - Grade BOpens in a new window or tab,$204.66,Very Good - Refurbished,Shipping not specified,No Return Specified,eBay Refurbished
Apple iPhone 8  64/256 GB Smartphone (Unlocked)  >>Excellent Condition << Opens in a new window or tab,$155.63 to $163.42,Excellent - Refurbished,Shipping not specified,Free returns,Apple iPhone 8  64/256 GB Smartphone (Unlocked)  >>Excellent Condition << 
"Apple iPhone 7 - Unlocked - 32GB, 128GB, 256GB Canadian Model - Grade BOpens in a new window or tab",$88.71,Very Good - Refurbished,Shipping not specified,No Return Specified,8% off
Apple iPhone XS (64GB / 256GB) Space Gray / Gold (Unlocked) Best Offer !!!! <<Opens in a new window or tab,$280.14,Excellent - Refurbished,Shipping not specified,Free returns,eBay Refurbished
"Apple iPhone 11 - Unlocked - 64GB, 128GB, 256GB - All Colours - CA - Grade BOpens in a new window or tab",$350.18 to $404.65,Very Good - Refurbished,Shipping not specified,No Return Specified,eBay Refurbished
Apple iPhone 8 Plus (Unlocked) A1897 (GSM) (CA) 64GB/256GB - Grade BOpens in a new window or tab,$182.09,Very Good - Refurbished,Shipping not specified,No Return Specified,eBay Refurbished
Apple iPhone 7 32gb Black Very Good + Warranty 12 months + AccessoriesOpens in a new window or tab,$135.68,Very Good - Refurbished,Shipping not specified,No Return Specified,eBay Refurbished
ELF Bar Disposable Device 2ml 2% Nic Salt Buy 3 Get 1 Free (Add 4)Opens in a new window or tab,$7.49,Brand New,Shipping not specified,No Return Specified,905+ sold
Apple iPhone 13 - 256GB - Blue (Unlocked)Opens in a new window or tab,$937.84,Brand New,Shipping not specified,No Return Specified,3 watchers
Apple iPhone X 64GB Factory Unlocked AT&T T-Mobile Smartphone - Very GoodOpens in a new window or tab,$215.00,Very Good - Refurbished,Shipping not specified,No Return Specified,eBay Refurbished
Apple iPhone 11 Pro Max - Unlocked - 64GB / 256GB / 512GB - CA - Grade BOpens in a new window or tab,$474.69 to $560.29,Very Good - Refurbished,Shipping not specified,No Return Specified,eBay Refurbished
Tempered Glass Film For Apple iPhone 13 12 Mini Pro Max 11 XR X XS 8 7 6sOpens in a new window or tab,$2.07,Brand New,Shipping not specified,No Return Specified,540+ sold
New ListingApple iPhone 11 - 64GB - White - Unlocked - MINT  conditionOpens in a new window or tab,$350.13,Pre-Owned,+$45.07 shipping estimate,No Return Specified,0
Apple MacBook Pro 15 inch Retina /Quad Core i7/ 16GB / 256GB SSD OS Catalina Opens in a new window or tab,$379.00,Pre-Owned,+$55.74 shipping estimate,Free returns,Apple MacBook Pro 15 inch Retina /Quad Core i7/ 16GB / 256GB SSD OS Catalina 
